stop_id_a,stop_id_b,distance
Parent8501181,8592098,290.8989
Parent8501181,8501120:0:6,455.43802
Parent8501181,8592050:0:C,359.1886
Parent8501181,8592133,498.9176
Parent8501181,8592050,359.1886
Parent8501181,8592050:0:D,359.1886
Parent8501181,8592125,423.4987
Parent8501181,8501181:0:2,0.0
Parent8501181,8501120:0:7,455.43802
Parent8501181,8501120:0:1,455.43802
Parent8501181,8501120,455.43802
Parent8501181,8501181,0.0
Parent8501181,Parent8592050,359.1886
Parent8501181,8501160,424.9779
Parent8501181,8501120:0:4,455.43802
Parent8501181,8592011,407.73706
Parent8501181,8501160:0:1,424.9779
8501120:0:5,8501120:0:8,0.0
8501120:0:5,8501181:0:1,455.43802
8501120:0:5,Parent8501181,455.43802
8501120:0:5,8579254,441.93588
8501120:0:5,8592040,282.97427
8501120:0:5,8501120:0:3,0.0
8501120:0:5,Parent8501120,0.0
8501120:0:5,8592050:0:F,236.71092
8501120:0:5,8592050:0:H,99.84084
8501120:0:5,8579253,336.9602
8501120:0:5,8591818,406.3532
8501120:0:5,8592020,339.15115
8501120:0:5,8501120:0:70,0.0
8501120:0:5,8592027,361.37332
8501120:0:5,8501120:0:6,0.0
8501120:0:5,8592050:0:C,99.84084
8501120:0:5,8592050,99.84084
8501120:0:5,8592050:0:D,99.84084
8501120:0:5,8592072,437.97305
8501120:0:5,8501181:0:2,455.43802
8501120:0:5,8592052,208.01761
8501120:0:5,8501120:0:7,0.0
8501120:0:5,8501120:0:1,0.0
8501120:0:5,8501120,0.0
8501120:0:5,8501181,455.43802
8501120:0:5,8592079,329.20386
8501120:0:5,Parent8592050,99.84084
8501120:0:5,8501120:0:4,0.0
8504010:0:2,Parent8504010,59.32649
8504010:0:2,8592149,188.75174
8504010:0:2,8593795,324.07773
8504010:0:2,8504010:0:1,8.312039
8504010:0:2,8591976,80.544975
8504010:0:2,8504010,59.32649
8504010:0:2,8592151,331.2723
8509297,8592161,446.4096
8509297,8592146,229.38832
8509297,8593856,360.4388
8509297,Parent8504003,275.2485
8509297,8504003,275.2485
8509297,8504003:0:1,255.62314
8509297,8588451,313.44376
8509297,8504003:0:2,262.50674
8509297,8592153,354.03372
8557026,Parent8570420,347.65323
8557026,8570420:0:D,347.65323
8557026,8570420:0:A,347.65323
8557026,8570420:0:B,347.65323
8557026,8570420:0:C,347.65323
8588446,8588445,259.95358
8588446,8595192,267.47632
8588446,8588443,463.83542
8588446,Parent8504000,492.45627
8588446,8588445:0:B,289.3533
8588446,Parent8588445,259.95358
8588446,8592195,355.2946
8588446,8501121:0:2,269.13165
8588446,8588445:0:D,302.1473
8588446,8593850,402.23895
8588446,8588447,342.18878
8588446,Parent8501121,194.17233
8588446,8501121:0:1,287.85773
8588446,8504000,492.45627
8588446,8592188,355.30713
8591945,8579234,462.8919
8591945,8501213,434.4321
8591945,8596053,280.04782
8591945,8591944,251.78403
8591945,8592227,337.26755
8592034,8504176,449.3701
8592034,8592085,302.97885
8592034,8592135,261.5062
8592034,8592060,338.12115
8592034,8592003,404.48914
8592034,8592076,333.12384
8592034,8592120,458.19614
8592034,8592138,284.80618
8592034,8592071,235.43307
8592034,8592091,396.0479
8592034,8592111,476.3854
8592034,8592125,431.72287
8592034,8592033,221.98474
8592034,8592053,198.3565
8592034,8592059,483.04294
8592060,8501160:0:2,450.63678
8592060,8592001,463.5626
8592060,8592085,482.73212
8592060,8592035,344.70297
8592060,8592135,199.98431
8592060,8592034,338.12115
8592060,Parent8501160,450.63678
8592060,8592076,320.47345
8592060,8592120,189.75565
8592060,8592104,428.89526
8592060,8592125,481.94516
8592060,8592010,426.6145
8592060,8591984,234.11069
8592060,8592096,474.6411
8592060,8501160,450.63678
8592060,8592033,289.19965
8592060,8592011,391.99127
8592060,8501160:0:1,450.63678
8592102,8592119,425.10046
8592102,8501208,450.06818
8592102,8592078,376.7812
8592102,8592109,432.62057
8592102,8592103,441.45285
8592102,8592022,141.55708
8592102,8592036,426.46927
8592134,8501160:0:2,445.84372
8592134,8592001,486.65906
8592134,Parent8501160,445.84372
8592134,8592040,429.33273
8592134,8592041,486.54874
8592134,8579253,456.43835
8592134,8592046,490.93484
8592134,8592098,389.11166
8592134,8592133,220.22719
8592134,8592004,154.78488
8592134,8592010,456.58173
8592134,8592097,435.40256
8592134,8592096,412.03815
8592134,8592122,240.89961
8592134,8501160,445.84372
8592134,8501160:0:1,445.84372
8592169,8592189,295.7083
8592169,8592167,217.84558
8592169,8592168,173.05008
8592173,8592175,481.38974
8592173,8501162,327.7927
8592173,Parent8501162,327.7927
8592173,8592192,333.84192
8592173,8501162:0:1,327.7927
8592173,8501162:0:2,327.7927
8592173,8592180,371.01447
8592173,8592181,283.20776
8592209,8501118:0:5,496.62622
8592209,8501118:0:3,490.22867
8592209,8593866,396.66046
8592209,8501118:0:4,494.37927
8592209,8510422,416.2166
8592209,8592213,455.94513
8592209,8501118:0:1,484.878
8592209,8501118:0:2,488.5547
8592209,8592221,468.0055
8592209,8592218,166.38437
8592209,8595534,241.71092
8595215:0:2,8595217,263.42966
8595215:0:2,Parent8595215,0.0
8595215:0:2,8595215:0:1,0.0
8595215:0:2,Parent8595214,416.85446
8595215:0:2,8595214,416.85446
8595215:0:2,8595214:0:1,416.85446
8595215:0:2,8595215,0.0
8595986,8593816,469.9913
8595986,8588843,468.81085
8595986,8591936,373.22083
8595986,8595148,345.73483
8595986,8595516,279.40845
8595986,8593817,172.99379
8596053,8501213,432.8008
8596053,8591945,280.04782
8596053,8591944,423.90933
8596053,8591950,397.21518
Parent8501160,8501160:0:2,0.0
Parent8501160,8592001,256.99756
Parent8501160,8501181:0:1,424.9779
Parent8501160,8592035,471.3363
Parent8501160,8592135,406.20203
Parent8501160,Parent8501181,424.9779
Parent8501160,8592060,450.63678
Parent8501160,8592134,445.84372
Parent8501160,8592041,406.62125
Parent8501160,8579253,470.48544
Parent8501160,8590442,457.98996
Parent8501160,8592120,261.2718
